FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
SORGHUM SILAGE,0.32,0.10880000000000001,0.7787999999999999,0.6796,0.7787999999999999,0.6208,0.008640000000000002,0.0192,0.0015359999999999998,0.000672,0.00544,0.1216,0.1216,0.096,1.0,1.0,0.0,0.0,1.0,0.0,0.0
SORGHUM GRAIN (MILO) GROUND,0.89,0.5874,1.5764999999999998,1.3451,1.6120999999999999,0.2581,0.02759,0.0178,0.00035600000000000003,0.0028480000000000003,0.0035600000000000002,0.053399999999999996,0.053399999999999996,0.1602,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SORHUM GRAIN (MILO) FLAKED,0.82,0.5985999999999999,1.6707999999999998,1.4576,1.72,0.5084,0.025419999999999998,0.016399999999999998,0.000328,0.0022960000000000003,0.00328,0.049199999999999994,0.049199999999999994,0.14759999999999998,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SOYBEAN HAY,0.89,0.1424,0.9739,0.6624,0.9828000000000001,1.9580000000000002,0.031150000000000004,0.0712,0.011392000000000001,0.002581,0.0089,0.35600000000000004,0.35600000000000004,0.21359999999999998,1.0,1.0,0.0,0.0,1.0,0.0,0.0
SOYBEAN STRAW,0.88,0.044000000000000004,0.772,0.42,0.7984,2.3584,0.01232,0.0528,0.013992000000000001,0.0005279999999999999,0.00528,0.4752,0.4752,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SOYBEANS WHOLE,0.88,0.6072,1.7648000000000001,1.536,1.8264,1.1792,0.16544,0.044000000000000004,0.002376,0.005632000000000001,0.01672,0.0968,0.0968,0.49280000000000007,1.0,0.0,0.0,1.0,0.0,0.0,1.0
"SOYBEANS WHOLE, EXTRUDED",0.88,0.66,1.7836,1.5548000000000002,1.8452000000000002,1.1880000000000002,0.16544,0.044000000000000004,0.002376,0.005632000000000001,0.0176,0.0968,0.0968,0.49280000000000007,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"SOYBEANS WHOLE, ROASTED",0.88,0.7744,1.7836,1.5548000000000002,1.8452000000000002,1.1880000000000002,0.16544,0.044000000000000004,0.002376,0.005632000000000001,0.0176,0.0968,0.0968,0.49280000000000007,1.0,0.0,0.0,1.0,0.0,0.0,1.0
SOYBEAN HULLS,0.9,0.369,1.481,1.238,1.508,1.593,0.0207,0.045000000000000005,0.0054,0.00171,0.011700000000000002,0.432,0.432,0.342,1.0,0.0,0.0,1.0,0.0,0.0,1.0
"SOYBEAN MEAL, SOLV.  EXT. 44% CP",0.9,0.756,1.623,1.389,1.6680000000000001,0.49500000000000005,0.0135,0.06300000000000001,0.00324,0.006299999999999999,0.0198,0.09000000000000001,0.09000000000000001,0.558,1.0,0.0,0.0,1.0,0.0,0.0,1.0
"SOYBEAN MEAL, SOLV.  EXT. 49% CP",0.9,0.81,1.6800000000000002,1.4460000000000002,1.734,0.378,0.0099,0.054,0.0025200000000000005,0.00639,0.0198,0.054,0.054,0.549,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SOYBEAN MILL FEED,0.9,0.135,0.9410000000000001,0.608,0.95,0.738,0.0171,0.054,0.0041400000000000005,0.00171,0.015300000000000001,0.41400000000000003,0.41400000000000003,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
SPELT GRAIN,0.88,0.35200000000000004,1.4276,1.19,1.4452,0.7215999999999999,0.01848,0.0352,0.00035200000000000005,0.00352,0.00352,0.1496,0.1496,0.41359999999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SUDANGRASS FRESH IMMATURE,0.18,0.030600000000000002,0.8278,0.7791999999999999,0.8313999999999999,0.26639999999999997,0.007019999999999999,0.0162,0.000828,0.0006479999999999999,0.0036,0.052199999999999996,0.052199999999999996,0.043199999999999995,1.0,1.0,0.0,0.0,1.0,0.0,0.0
SUDANGRASS HAY,0.88,0.3432,1.0715999999999999,0.7899999999999999,1.0715999999999999,2.1471999999999998,0.015840000000000003,0.08800000000000001,0.0044,0.0019360000000000002,0.019360000000000002,0.3784,0.3784,0.2288,1.0,1.0,0.0,0.0,1.0,0.0,0.0
SUDANGRASS SILAGE,0.31,0.1178,0.7597999999999999,0.6606,0.7597999999999999,0.6107,0.00961,0.031,0.001798,0.0008370000000000001,0.00744,0.13019999999999998,0.13019999999999998,0.0899,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"SUNFLOWER MEAL, SOLV. EXT.",0.92,0.6164000000000001,1.2572,0.9904000000000001,1.2572,0.9108,0.025759999999999998,0.0736,0.004048,0.008924000000000001,0.010120000000000002,0.2024,0.2024,0.5060000000000001,1.0,0.0,0.0,0.0,0.0,1.0,0.0
